,Overall EITI Report Info,,,,,,,,,EITI Report Coverage of Breakdowns,,,,,,,
Liberia2011,2011.0,Liberia,Africa,May 2013,"Oil, Mining, Forestry, Agriculture",102802566.91,115407282.0,65.0,http://eiti.org/files/Liberia-2011-EITI-Report.pdf,x,,x,,x,,yes,no
Liberia2012,2012.0,Liberia,Africa,June 2014,"Oil, Mining, Forestry, Agriculture",110146657.0,100809819.0,80.0,http://eiti.org/files/EITI_Report_Liberia_2011-12.pdf,x,,x,,x,,yes,no
Madagascar2007,2007.0,Madagascar,Africa,May 2011,Mining,48300000.0,48100000.0,3.0,http://eiti.org/files/Madagascar%202007-2008-2009-%28Jan-June2010%29%20EITI%20Report.pdf,,,x,,,,,
Madagascar2008,2008.0,Madagascar,Africa,May 2011,Mining,55300000.0,54900000.0,3.0,http://eiti.org/files/Madagascar%202007-2008-2009-%28Jan-June2010%29%20EITI%20Report_0.pdf,,,x,,,,,
Madagascar2009,2009.0,Madagascar,Africa,May 2011,Mining,20900000.0,21000000.0,3.0,http://eiti.org/files/Madagascar%202007-2008-2009-%28Jan-June2010%29%20EITI%20Report_1.pdf,,,x,,,,,
Madagascar2010,2010.0,Madagascar,Africa,September 2012,"Oil, Gas, Mining",160705175.4177406,151591513.6386776,9.0,http://eiti.org/files/Madagascar-2010-EITI-Report.pdf,x,,x,,,x,,
Madagascar2011,2011.0,Madagascar,Africa,September 2013,"Oil, Gas, Mining",87349503.05170116,83461011.17475681,35.0,http://eiti.org/files/Rapport%20FINAL%20EITI%20Madagascar%20-%20Exercice%202011%20-%20FR_0.pdf,x,,x,,,,,
Mali2006,2006.0,Mali,Africa,November 2009,Mining,221333358.83264166,230105758.3813039,7.0,http://eiti.org/files/Mali%202006%20EITI%20Report.pdf,x,,x,,,,,
Mali2007,2007.0,Mali,Africa,May 2011,Mining,283774774.17844975,287602068.42591846,9.0,http://eiti.org/files/Mali%202007-2008%20EITI%20Report.pdf,x,,x,,,,,
Mali2008,2008.0,Mali,Africa,May 2011,Mining,281237313.39930284,290993478.4861306,9.0,http://eiti.org/files/Mali%202007-2008%20EITI%20Report_0.pdf,x,,x,,,,,
Mali2009,2009.0,Mali,Africa,November 2011,"Mining, Oil",380403587.3083742,370973010.96793836,40.0,http://eiti.org/files/Mali%202009%20EITI%20Report.pdf,x,,x,,,,,
Mali2010,2010.0,Mali,Africa,December 2012,Mining,346547621.39714646,351835136.30196124,9.0,http://eiti.org/files/Mali-2010-EITI-Report.pdf,x,,x,,,,,
Mali2011,2011.0,Mali,Africa,December 2013,Mining,425193486.5983402,423052152.7160842,18.0,http://eiti.org/files/Mali-2011-EITI-Report-FR.pdf,x,,x,,,,,
Mali2012,2012.0,Mali,Africa,December 2014,Mining,481528351.0,443716630.0,14.0,https://eiti.org/files/Rapport%20Final%20de%20Conciliation%20ITIE%20Mali%202012.pdf,x,,x,,,,,no
Mauritania2005,2005.0,Mauritania,Africa,February 2007,"Oil, Gas, Mining",29636377.09486687,28035804.654841263,14.0,http://eiti.org/files/Mauritania%202005%20EITI%20Report.pdf,,,x,,,,,
Mauritania2006,2006.0,Mauritania,Africa,June 2007,"Oil, Gas, Mining",280165029.7840655,273414760.23827255,27.0,http://eiti.org/files/Mauritania%202006%20EITI%20Report.pdf,,,x,,,,,
Mauritania2007,2007.0,Mauritania,Africa,June 2011,"Oil, Mining",175753291.2240898,182576278.7460038,36.0,http://eiti.org/files/Mauritania%202007%20EITI%20Report.pdf,,,x,,,,,
Mauritania2008,2008.0,Mauritania,Africa,June 2011,"Oil, Mining",231365651.58618,234899503.9671991,36.0,http://eiti.org/files/Mauritania%202007%20EITI%20Report.pdf,,,x,,,,,
Mauritania2009,2009.0,Mauritania,Africa,September 2011,"Oil, Mining",191165715.06295663,195416882.63640603,36.0,http://eiti.org/files/Mauritania%202009%20EITI%20Report.pdf,,,x,,,,,
Mauritania2010,2010.0,Mauritania,Africa,June 2013,"Oil, Gas, Mining",270018612.9911618,237278711.68385196,70.0,http://eiti.org/files/Mauritania-2010-EITI-Report.pdf,x,,x,,,,,
Mauritania2011,2011.0,Mauritania,Africa,June 2013,"Oil, Gas, Mining",448018316.7655246,429224820.9804543,70.0,http://eiti.org/files/Mauritania-2011-EITI-Report.pdf,x,,x,,,,,
Mauritania2012,2012.0,Mauritania,Africa,December 2014,"Oil, Mining",472169395.83,468640335.36,15.0,https://eiti.org/files/Rapport%20final%20-%20Conciliation%20ITIE%20Mauritanie%202012.pdf,x,,x,,,,,no
Mongolia2006,2006.0,Mongolia,East Asia and Pacific,December 2007,"Oil, Mining",411987301.6,434116184.3,25.0,http://eiti.org/files/Mongolia%202006%20EITI%20Report.pdf,x,,x,,x,,yes,no
Mongolia2007,2007.0,Mongolia,East Asia and Pacific,October 2009,"Oil, Mining",640532901.0,660586246.0,38.0,http://eiti.org/files/Mongolia%202007%20EITI%20Report.pdf,x,,x,,x,,yes,no
Mongolia2008,2008.0,Mongolia,East Asia and Pacific,May 2010,"Oil, Mining",587942636.0,588887191.4,46.0,http://eiti.org/files/Mongolia%202008%20EITI%20Report.pdf,x,,x,,x,,yes,no
Mongolia2009,2009.0,Mongolia,East Asia and Pacific,May 2011,"Oil, Mining",512525992.42710215,512566409.3,101.0,http://eiti.org/files/Mongolia%202009%20EITI%20Report.pdf,x,x,x,,x,,yes,no
Mongolia2010,2010.0,Mongolia,East Asia and Pacific,May 2012,"Oil, Mining",943183886.0,943184625.7,150.0,http://eiti.org/files/Mongolia-2010-EITI-Report-FULL.pdf,x,x,x,,x,,yes,no
Mongolia2011,2011.0,Mongolia,East Asia and Pacific,November 2012,"Oil, Mining",1716796513.0,1716856381.0,200.0,http://eiti.org/files/Mongolia-2011-EITI-Report-PartI.pdf,x,x,x,,x,,yes,no
Mongolia2012,2012.0,Mongolia,East Asia and Pacific,January 2013,"Oil, Mining",1180619495.0,2233069669.0,199.0,http://eiti.org/files/Mongolia-2012-EITI-Report.pdf,x,,x,,x,,yes,no
Mongolia2013,2013.0,Mongolia,East Asia and Pacific,December 2014,"Oil, Mining",1054895582.33,1054920348.06,240.0,https://eiti.org/files/Shorter%20PDF%20MEITI%20Report-English%20Master_final_2013.pdf,x,,x,,,,,no
Mozambique2008,2008.0,Mozambique,Africa,January 2011,"Gas, Mining",25571802.53097141,8484826.0,6.0,http://eiti.org/files/Mozambique%202008%20EITI%20Report.pdf,x,x,x,x,x,x,yes,no
Mozambique2009,2009.0,Mozambique,Africa,March 2012,"Oil, Gas, Mining",51049678.183363676,42568813.472747095,31.0,http://eiti.org/files/Mozambique-2009-EITI-Report.pdf,x,,x,,x,,yes,no
Mozambique2009,2011.0,Mozambique,Africa,March 2014,"Oil, Gas, Mining",115116240.28,114608833.28,37.0,http://eiti.org/files/Mozambique-2011-EITI-Report.pdf,x,,x,,x,x,yes,no
Mozambique2010,2010.0,Mozambique,Africa,December 2012,"Oil, Gas, Mining",71555872.33687955,56324644.57037691,44.0,http://eiti.org/files/Mozambique-2010-EITI-Report.pdf,x,,x,,x,,yes,no
Niger2005,2005.0,Niger,Africa,September 2009,"Oil, Mining",14928853.70728069,15079465.449712178,13.0,http://eiti.org/files/Niger%202005-2006%20EITI%20Report.pdf,x,,x,,,,,
Niger2006,2006.0,Niger,Africa,September 2009,"Oil, Mining",25063833.699167486,25374332.380495336,13.0,http://eiti.org/files/Niger%202005-2006%20EITI%20Report_0.pdf,x,,x,,,,,
Niger2007,2007.0,Niger,Africa,December 2010,"Oil, Gas, Mining",147175593.54643524,147175593.54643524,68.0,http://eiti.org/files/Niger%202007-2008-2009%20EITI%20Report_1.pdf,x,,x,,,,,
Niger2008,2008.0,Niger,Africa,December 2010,"Oil, Gas, Mining",418740295.82386595,418740295.82386595,63.0,http://eiti.org/files/Niger%202007-2008-2009%20EITI%20Report_0.pdf,x,,x,,,,,
Niger2009,2009.0,Niger,Africa,December 2010,"Oil, Gas, Mining",143129702.9482843,143129702.9482843,39.0,http://eiti.org/files/Niger%202007-2008-2009%20EITI%20Report.pdf,x,,x,,,,,
Niger2010,2010.0,Niger,Africa,June 2012,"Oil, Gas, Mining",109503726.04387245,107544027.23628214,73.0,http://eiti.org/files/Niger-2010-EITI-Report.pdf,x,,x,,,,,
Niger2011,2011.0,Niger,Africa,December 2013,"Oil, Gas, Mining",119279040.34148772,117840829.10229464,113.0,http://eiti.org/files/4eme_rapport_itie_niger_2011_0.pdf,,,x,,,,,
Niger2012,2012.0,Niger,Africa,December 2014,"Oil, Mining",344759167.0,340897169.0,63.0,https://eiti.org/files/Rapport%20du00E9finitif%20collecte%202012.pdf,x,,x,,,,,no
Nigeria1999,1999.0,Nigeria,Africa,October 2006,"Oil, Gas",8073000000.0,8084000000.0,24.0,https://eiti.org/files/Nigeria%201999-%202004%20EITI%20Report_4.pdf,x,,,,,,yes,no
Nigeria2000,2000.0,Nigeria,Africa,October 2006,"Oil, Gas",15807000000.0,15807000000.0,24.0,https://eiti.org/files/Nigeria%201999-%202004%20EITI%20Report_4.pdf,x,,,,,,yes,no
Nigeria2001,2001.0,Nigeria,Africa,October 2006,"Oil, Gas",15909000000.0,15909000000.0,24.0,https://eiti.org/files/Nigeria%201999-%202004%20EITI%20Report_4.pdf,x,,,,,,yes,no
Nigeria2002,2002.0,Nigeria,Africa,October 2006,"Oil, Gas",11875000000.0,11875000000.0,24.0,https://eiti.org/files/Nigeria%201999-%202004%20EITI%20Report_4.pdf,x,,,,,,yes,no
Nigeria2003,2003.0,Nigeria,Africa,October 2006,"Oil, Gas",17091000000.0,17095000000.0,24.0,https://eiti.org/files/Nigeria%201999-%202004%20EITI%20Report_4.pdf,x,,,,,,yes,no
Nigeria2004,2004.0,Nigeria,Africa,October 2006,"Oil, Gas",26596000000.0,26597000000.0,24.0,https://eiti.org/files/Nigeria%201999-%202004%20EITI%20Report_4.pdf,x,,,,,,yes,no
Nigeria2005,2005.0,Nigeria,Africa,September 2008,"Oil, Gas",37761759990.70618,37589633076.17887,not specified,https://eiti.org/files/Nigeria%202005%20EITI%20Report.pdf,x,,,,,,yes,no
Nigeria2006,2006.0,Nigeria,Africa,January 2011,"Oil, Gas",45464400000.0,44748184080.0,not specified,https://eiti.org/files/Nigeria%202006-2007-2008%20EITI%20Report.pdf,x,,,,,,yes,no
Nigeria2007,2007.0,Nigeria,Africa,January 2011,"Oil, Gas",43678500000.0,43562165330.0,not specified,https://eiti.org/files/Nigeria%202006-2007-2008%20EITI%20Report.pdf,x,,,,,,yes,no
Nigeria2008,2008.0,Nigeria,Africa,January 2011,"Oil, Gas",59398200000.0,59266324980.0,not specified,https://eiti.org/files/Nigeria%202006-2007-2008%20EITI%20Report.pdf,x,,,,,,yes,no
Nigeria2009,2009.0,Nigeria,Africa,January 2013,"Oil, Gas",30129486000.0,30087646000.0,not specified,https://eiti.org/files/NEITI-EITI-Core-Audit-Report-Oil-Gas-2009-2011-310113-New_0.pdf,x,,,,,,yes,no
Nigeria2010,2010.0,Nigeria,Africa,January 2013,"Oil, Gas",44944995000.0,44965362000.0,not specified,https://eiti.org/files/NEITI-EITI-Core-Audit-Report-Oil-Gas-2009-2011-310113-New_0.pdf,x,,,,,,yes,no
Nigeria2011,2011.0,Nigeria,Africa,January 2013 (oil & gas report); May 2014 (mining report),"Oil, Gas, Mining",68613385930.0,68690659359.0,not specified,https://eiti.org/files/NEITI-EITI-Core-Audit-Report-Oil-Gas-2009-2011-310113-New_0.pdf; http://eiti.org/files/2011%20SMA%20FINAL%20CORE%20EITI%20REPORT.pdf,x,,,,,,yes,no
Nigeria2012,2012.0,Nigeria,Africa,December 2014,Mining,177501338.81,164593480.07,58.0,https://eiti.org/files/Nigeria-SMA-Report-2012_0.pdf,x,,x,,,,,no
Norway2008,2008.0,Norway,Europe and Central Asia,November 2009,"Oil, Gas",71008812.23404256,71008812.23404256,69.0,http://eiti.org/files/Norway%202008%20EITI%20Report.pdf,x,,x,,x,,yes,no
Norway2009,2009.0,Norway,Europe and Central Asia,October 2010,"Oil, Gas",42349871974.52229,42349871974.52229,64.0,http://eiti.org/files/Norway-2009-EITI-Report.pdf,x,,x,,x,,yes,no
Norway2010,2010.0,Norway,Europe and Central Asia,April 2012,"Oil, Gas",44013892000.0,44013892000.0,66.0,http://eiti.org/files/Norway-2010-EITI-Report-Norwegian.pdf,x,,x,,,,,
Norway2011,2011.0,Norway,Europe and Central Asia,October 2010,"Oil, Gas",60421715740.0,60421715740.0,64.0,http://www.regjeringen.no/upload/OED/pdf%20filer/EITI/1269981599_670670_EITIrapport_2012_engelsk.pdf,x,,x,,x,,yes,no
Norway2012,2012.0,Norway,Europe and Central Asia,October 2010,"Oil, Gas",65229640210.0,65229640210.0,69.0,http://eiti.org/files/Norway-2012-EITI-report.pdf,x,,x,,x,,yes,no
Peru2004,2004.0,Peru,Latin America and Caribbean,October 2009,"Oil, Gas, Mining",884263514.4985337,883327965.6099706,33.0,http://eiti.org/files/Peru%202004-2007%20EITI%20Report.pdf,,,x,,,,no,no
Peru2005,2005.0,Peru,Latin America and Caribbean,October 2009,"Oil, Gas, Mining",1756747244.267477,1755425838.3039513,33.0,http://eiti.org/files/Peru%202004-2007%20EITI%20Report.pdf,,,x,,,,no,no
Peru2006,2006.0,Peru,Latin America and Caribbean,October 2009,"Oil, Gas, Mining",2926435259.9327216,2926253811.761468,33.0,http://eiti.org/files/Peru%202004-2007%20EITI%20Report.pdf,,,x,,,,no,no
Peru2007,2007.0,Peru,Latin America and Caribbean,October 2009,"Oil, Gas, Mining",3125388072.794872,3126093879.5,33.0,http://eiti.org/files/Peru%202004-2007%20EITI%20Report.pdf,,,x,,,,no,no
Peru2008,2008.0,Peru,Latin America and Caribbean,December 2011,"Oil, Gas, Mining",3573697357.7190704,3573963810.161312,51.0,http://eiti.org/files/Peru%202008-2010%20EITI%20Report.pdf,,,x,,,,no,no
Peru2009,2009.0,Peru,Latin America and Caribbean,December 2012,"Oil, Gas, Mining",2965369766.4701195,2965945526.7968125,51.0,http://eiti.org/files/Peru%202008-2010%20EITI%20Report.pdf,,,x,,,,no,no
Peru2010,2010.0,Peru,Latin America and Caribbean,December 2013,"Oil, Gas, Mining",4358147652.27247,4358224746.293701,51.0,http://eiti.org/files/Peru%202008-2010%20EITI%20Report.pdf,,,x,,,,no,no
Peru2011,2011.0,Peru,Latin America and Caribbean,February 2014,"Oil, Gas, Mining",5884323617.0,5881394469.0,59.0,http://eiti.org/files/Peru-2011-2012-EITI-Report.pdf,x,,x,,,,no,no
Peru2012,2012.0,Peru,Latin America and Caribbean,February 2014,"Oil, Gas, Mining",5480907241.0,5478998767.0,59.0,http://eiti.org/files/Peru-2011-2012-EITI-Report_0.pdf,x,,x,,,,no,no
RepublicOfTheCongo2004,2004.0,Republic of the Congo,Africa,August 2008,"Oil, Gas",802597372.7274218,,17.0,http://eiti.org/files/Congo-Rep-2004-2005-2006-EITI-Report.pdf,,,x,,,,,
RepublicOfTheCongo2005,2005.0,Republic of the Congo,Africa,August 2009,"Oil, Gas",1738493617.951367,,17.0,http://eiti.org/files/Congo-Rep-2004-2005-2006-EITI-Report_0.pdf,,,x,,,,,
RepublicOfTheCongo2006,2006.0,Republic of the Congo,Africa,August 2009,"Oil, Gas",2581804427.329393,,17.0,http://eiti.org/files/Congo-Rep-2004-2005-2006-EITI-Report_1.pdf,,,x,,,,,
RepublicOfTheCongo2007,2007.0,Republic of the Congo,Africa,October 2010,"Oil, Gas",2553350325.830701,2443821662.968848,25.0,http://eiti.org/files/Republic%20of%20Congo%202007-2008-2009%20EITI%20Report.pdf,,,x,,,,,
RepublicOfTheCongo2008,2008.0,Republic of the Congo,Africa,October 2010,"Oil, Gas",4645910135.553427,4608048676.908587,25.0,http://eiti.org/files/Republic%20of%20Congo%202007-2008-2009%20EITI%20Report_0.pdf,,,x,,,,,
RepublicOfTheCongo2009,2009.0,Republic of the Congo,Africa,October 2010,"Oil, Gas",2343960552.735944,2293891127.904753,30.0,http://eiti.org/files/Republic%20of%20Congo%202007-2008-2009%20EITI%20Report_1.pdf,,,x,,,,,
RepublicOfTheCongo2010,2010.0,Republic of the Congo,Africa,December 2011,"Oil, Gas",3195780380.0319676,3419011268.892057,16.0,http://eiti.org/files/Republic%20of%20Congo%202010%20EITI%20Report.pdf,,,,,,,,
RepublicOfTheCongo2011,2011.0,Republic of the Congo,Africa,September 2012,"Oil, Gas",5529544307.0,5551437090.985856,17.0,http://eiti.org/files/Congo-Rep-2011-EITI-Report-2.pdf,,,x,,,,,
RepublicOfTheCongo2012,2012.0,Republic of the Congo,Africa,December 2013,"Oil, Gas, Mining",3185676000.0,3210830000.0,21.0,http://eiti.org/files/EITI%20REPORT%202012-CONGO%20B..pdf,x,,x,,,,,
RepublicOfTheCongo2013,2013.0,Republic of the Congo,Africa,December 2014,"Oil, Gas",3041615000.0,3044743000.0,96.0,https://eiti.org/files/Fair%20Links%20-%20Congo%20-%20ITIE%202013%20-%20Rapport%20ITIE%202013.pdf,x,,x,,,,,no
Sierra Leone2006,2006.0,Sierra Leone,Africa,February 2010,Mining,7255694.5761567,7650039.54407294,9.0,http://eiti.org/files/Sierra%20Leone%202006-2007%20EITI%20Report.pdf,x,,x,,x,,no,no
Sierra Leone2007,2007.0,Sierra Leone,Africa,February 2010,Mining,10201528.66588471,10475495.659182299,9.0,http://eiti.org/files/Sierra%20Leone%202006-2007%20EITI%20Report.pdf,x,,x,,x,,no,no
Sierra Leone2008,2008.0,Sierra Leone,Africa,September 2012,"Oil, Gas, Mining",4427564.2110363245,7434047.140830937,12.0,http://eiti.org/files/Sierra-Leone-2008-2010-EITI-Report_1.pdf,x,x,x,x,x,,no,no
Sierra Leone2009,2009.0,Sierra Leone,Africa,September 2012,"Oil, Gas, Mining",5875777.997759668,6091293.364760502,12.0,http://eiti.org/files/Sierra-Leone-2008-2010-EITI-Report_1.pdf,x,x,x,x,x,,no,no
Sierra Leone2010,2010.0,Sierra Leone,Africa,September 2012,"Oil, Gas, Mining",7586792.565150404,8273470.975123537,13.0,http://eiti.org/files/Sierra-Leone-2008-2010-EITI-Report_1.pdf,x,x,x,x,x,,no,no
Sierra Leone2011,2011.0,Sierra Leone,Africa,December 2013,"Oil, Gas, Mining",27621406.0,26293142.0,19.0,http://eiti.org/files/SLEITI%20Reconciliation%20Report%202011%20-%20Final.pdf,x,,x,,x,,no,no
Tanzania2009,2009.0,Tanzania,Africa,January 2011,"Gas, Mining",102252340.0,138928383.0,11.0,http://eiti.org/files/Tanzania%20Jul%202008-%20Jun%202009%20EITI%20Report.pdf,x,x,x,x,x,,yes,no
Tanzania2010,2010.0,Tanzania,Africa,May 2012,"Gas, Mining",305762430.1,309407926.3,22.0,http://eiti.org/files/Tanzania-2010-EITI-Report.pdf,x,x,x,x,x,,yes,no
Tanzania2011,2011.0,Tanzania,Africa,June 2013,"Gas, Mining",329804745.0,337100430.0,29.0,http://eiti.org/files/Tanzania-2011-EITI-Report.pdf,x,x,x,x,x,,yes,no
Tanzania2012,2012.0,Tanzania,Africa,June 2014,"Oil, Gas, Mining",468277747.6995896,469605653.310861,44.0,http://eiti.org/files/Tanzania_2012_EITI_Report.pdf,x,,x,,x,,yes,no
TimorLeste2008,2008.0,Timor Leste,East Asia and Pacific,October 2009,"Oil, Gas",2509572538.0,2509572538.0,18.0,http://eiti.org/files/Timor-Leste%20EITI%202008%20report_0.pdf,x,,x,,x,,yes,no
TimorLeste2009,2009.0,Timor Leste,East Asia and Pacific,February 2011,"Oil, Gas",1763889996.0,1763889996.0,18.0,http://eiti.org/files/Timor-Leste%202009%20EITI%20Report.pdf,x,,x,,x,,yes,no
TimorLeste2010,2010.0,Timor Leste,East Asia and Pacific,November 2012,"Oil, Gas",2149721568.0,2149721568.0,19.0,http://eiti.org/files/Timor-Leste%202009%20EITI%20Report.pdf,x,,x,,x,x,yes,no
TimorLeste2011,2011.0,Timor Leste,East Asia and Pacific,December 2012,"Oil, Gas",3453285817.0,3453285817.0,20.0,http://eiti.org/files/Timor-Leste-2011-EITI-Report.pdf,x,,x,,x,x,yes,no
Togo2010,2010.0,Togo,Africa,February 2012,"Oil, Mining, Other",60128720.44646464,65899109.78989899,22.0,http://eiti.org/files/Togo-2010-EITI-Report.pdf,x,,x,,,,,
Togo2011,2011.0,Togo,Africa,February 2013,"Oil, Mining, Other",31315792.572,31297366.316,25.0,http://eiti.org/files/Togo-2011-EITI-Report-FR.pdf,x,,x,,,,,
Togo2012,2012.0,Togo,Africa,December 2014,Mining,31681601.94,35222626.91,27.0,https://eiti.org/files/2012%20Togo%20EITI%20Report%20Moore%20Stephens.pdf,x,,x,,,,,no
Trinidad&Tobago2011,2011.0,Trinidad & Tobago,Latin America and Caribbean,September 2013,"Oil, Gas",3593984496.0,3605333333.0,46.0,http://eiti.org/files/FINAL-TTEITI-reconciliation-report-2011.pdf,x,,x,,,x,yes,no
Yemen2005,2005.0,Yemen,Middle East and North Africa,September 2010,"Oil, Gas",4668154975.0,4668248606.0,12.0,http://eiti.org/files/Yemen%202005-2006-2007%20EITI%20Report.pdf,,,x,,,,yes,no
Yemen2006,2006.0,Yemen,Middle East and North Africa,September 2010,"Oil, Gas",5122351269.0,5121921597.0,12.0,http://eiti.org/files/Yemen%202005-2006-2007%20EITI%20Report.pdf,,,x,,,,yes,no
Yemen2007,2007.0,Yemen,Middle East and North Africa,September 2010,"Oil, Gas",5331162225.0,5331078375.0,12.0,http://eiti.org/files/Yemen%202005-2006-2007%20EITI%20Report.pdf,,,x,,,,yes,no
Yemen2008,2008.0,Yemen,Middle East and North Africa,June 2013,"Oil, Gas",7591231594.0,214794365.0,12.0,http://eiti.org/files/Yemen-2008-2009-2010-EITI-Report_1.pdf; http://www.yemeneiti.org/english/wp-content/uploads/2013/09/APPENDICES_Final-Edition.pdf,,,x,,,,yes,no
Yemen2009,2009.0,Yemen,Middle East and North Africa,June 2013,"Oil, Gas",3625997931.0,114590378.0,12.0,http://eiti.org/files/Yemen-2008-2009-2010-EITI-Report_1.pdf; http://www.yemeneiti.org/english/wp-content/uploads/2013/09/APPENDICES_Final-Edition.pdf,,,x,,,,yes,no
Yemen2010,2010.0,Yemen,Middle East and North Africa,June 2013,"Oil, Gas",5081696110.0,245902656.0,13.0,http://eiti.org/files/Yemen-2008-2009-2010-EITI-Report_1.pdf; http://www.yemeneiti.org/english/wp-content/uploads/2013/09/APPENDICES_Final-Edition.pdf,,x,x,x,,,yes,no
Yemen2011,2011.0,Yemen,Middle East and North Africa,April 2014,"Oil, Gas",5539756725.0,372118093.0,40.0,http://eiti.org/files/YEM3_11_apr_2014.pdf,,x,x,x,,,yes,no
Zambia2008,2008.0,Zambia,Africa,January 2011,Mining,470370875.0,473725116.0,14.0,http://eiti.org/files/Zambia%202008%20EITI%20Report.pdf,x,,x,,x,,yes,no
Zambia2009,2009.0,Zambia,Africa,February 2012,Mining,533783358.0,574901639.0,28.0,http://eiti.org/files/Zambia-2009-EITI-Report.pdf,x,,x,,x,,yes,no
Zambia2010,2010.0,Zambia,Africa,February 2013,Mining,757063737.0,758825945.0,20.0,http://eiti.org/files/Zambia-2010-EITI-Report.pdf; http://eiti.org/files/zambia/Zambia-EITI-2010-Report-Annexes.pdf,x,,x,,x,,yes,no
Zambia2011,2011.0,Zambia,Africa,February 2014,Mining,1588841770.0,1600810082.0,25.0,http://eiti.org/files/Zambia-2011-EITI-Report.pdf,x,,x,,x,,yes,no
Zambia2012,2012.0,Zambia,Africa,November 2014,"Oil, Mining",1537626771.04,1519219439.75,29.0,https://eiti.org/files/zeiti_2012_reconciliation_final_report_18_12_14.pdf,x,,x,,,,,no
Zambia2013,2013.0,Zambia,Africa,December 2014,"Oil, Mining",1498550077.77,1428239205.44,29.0,https://eiti.org/files/zeiti_2013_reconciliation_final_report_18_12_14%20%281%29%20%282%29.pdf,x,,x,,,,,no
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
On EITI website for each country:,,,,,,,,,,,,,,,,,
http://eiti.org/countries/reports,,,,,,,,,,,,,,,,,
For example:,,,,,,,,,,,,,,,,,
http://eiti.org/Nigeria,,,,,,,,,,,,,,,,,
